designationid,designationname,designationcadre,designationcategory,isactive,createddate,modifieddate
1,Associate Professor 1,Teaching,Visiting,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
2,Professor 2,Technical,Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
3,Administrative Officer 3,Visiting,Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
4,Administrative Officer 4,Visiting,Non-Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
5,Associate Professor 5,NA,Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
6,Professor 6,Teaching,Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
7,Technical Officer 7,Teaching,Visiting,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
8,Project Officer 8,Teaching,Non-Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
9,Project Officer 9,Admin,Non-Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
10,Project Officer 10,Technical,Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
11,Associate Professor 11,NA,Non-Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
12,Assistant Professor 12,Technical,Visiting,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
13,Technical Officer 13,NA,Non-Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
14,Technical Officer 14,Teaching,Non-Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
15,Assistant Professor 15,NA,Visiting,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
16,Administrative Officer 16,Visiting,Non-Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
17,Associate Professor 17,Admin,Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
18,Associate Professor 18,NA,Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
19,Assistant Professor 19,Admin,Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
20,Technical Officer 20,Admin,Visiting,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
21,Technical Officer 21,Admin,Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
22,Professor 22,Visiting,Non-Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
23,Professor 23,Technical,Visiting,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
24,Technical Officer 24,NA,Visiting,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
25,Technical Officer 25,Admin,Non-Teaching,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
26,Associate Professor 26,Admin,Non-Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
27,Visiting Faculty 27,Teaching,Visiting,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
28,Project Officer 28,Visiting,Visiting,FALSE,2025-11-29 12:34:55,2025-11-29 12:34:55
29,Associate Professor 29,Admin,Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
30,Professor 30,Teaching,Non-Teaching,TRUE,2025-11-29 12:34:55,2025-11-29 12:34:55
